iter	MultiClass
0	1.02881965
1	0.9626761442
2	0.9042528944
3	0.8524566413
4	0.8054728018
5	0.7641640387
6	0.7264040811
7	0.6936454201
8	0.6633132019
9	0.6341533811
10	0.6062387714
11	0.5807550326
12	0.5578835926
13	0.5354418822
14	0.515763696
15	0.4967365224
16	0.4790423941
17	0.4620412395
18	0.4476858406
19	0.4337917527
20	0.4184956826
21	0.4054354828
22	0.3929098962
23	0.3814350599
24	0.3707284912
25	0.3603945741
26	0.3506728473
27	0.3417910599
28	0.3324925625
29	0.3242218449
30	0.3164521296
31	0.308885534
32	0.3010873957
33	0.2941281405
34	0.2872716195
35	0.2815804201
36	0.2753206131
37	0.2695929937
38	0.2644953004
39	0.2592150516
40	0.2540496438
41	0.2490558861
42	0.2446724145
43	0.2396409875
44	0.2355683137
45	0.2310984571
46	0.2272698746
47	0.2234349052
48	0.219723716
49	0.2164401383
50	0.2132776448
51	0.2100205124
52	0.2066507655
53	0.2041827267
54	0.2009199626
55	0.1980238502
56	0.1951692014
57	0.1927178214
58	0.1905691094
59	0.188349103
60	0.1861866523
61	0.1840277426
62	0.1813464206
63	0.1792066296
64	0.1766334062
65	0.1750206182
66	0.1732177871
67	0.1721073373
68	0.1707419808
69	0.169211093
70	0.1675245364
71	0.1657623229
72	0.1638854
73	0.1624547406
74	0.1610294827
75	0.1592002018
76	0.1578850756
77	0.156398635
78	0.1548137834
79	0.1537916398
80	0.1521772573
81	0.1510143533
82	0.1497909734
83	0.1486189716
84	0.1478088345
85	0.1467423509
86	0.1454473581
87	0.1438987265
88	0.1430354654
89	0.1419468418
90	0.1408170241
91	0.1399166509
92	0.1387256118
93	0.1379765371
94	0.1370691262
95	0.1357277732
96	0.1347071292
97	0.1335516401
98	0.1323621562
99	0.1314396097
100	0.1305547375
101	0.1297380254
102	0.1287009868
103	0.1281268277
104	0.1273102061
105	0.1261152768
106	0.1251762436
107	0.1240961003
108	0.1231499002
109	0.1223239102
110	0.1217571458
111	0.1208913626
112	0.1201459118
113	0.1190213334
114	0.1183823154
115	0.1175188276
116	0.1168963934
117	0.1161352593
118	0.1155595511
119	0.1148436621
120	0.1142262458
121	0.1133846593
122	0.1127959624
123	0.1121611
124	0.1116536252
125	0.1109301718
126	0.110308931
127	0.1094949827
128	0.1089604134
129	0.1084254888
130	0.1079264911
131	0.1072302535
132	0.1066474971
133	0.1060648342
134	0.1053560293
135	0.1047539638
136	0.1043082807
137	0.1037219814
138	0.1028655519
139	0.1022595297
140	0.1018304369
141	0.1013098691
142	0.100824748
143	0.1003422232
144	0.09976784542
145	0.09920354317
146	0.09868740183
147	0.09817711271
148	0.09760161507
149	0.0970766378
150	0.09646600684
151	0.09592231317
152	0.09545442035
153	0.09509141493
154	0.09468851185
155	0.09419322856
156	0.09365129804
157	0.0931534525
158	0.09263971672
159	0.0921361764
160	0.09164831119
161	0.09103796335
162	0.09055743583
163	0.08999172117
164	0.08946459951
165	0.08888290565
166	0.0884652808
167	0.08794488654
168	0.08739191693
169	0.08691125841
170	0.0864839569
171	0.08613732431
172	0.08569098452
173	0.0853035126
174	0.08493622138
175	0.08439982044
176	0.08394627607
177	0.08357625816
178	0.08312295629
179	0.08278833359
180	0.08227943394
181	0.08190152918
182	0.08148516242
183	0.0809692598
184	0.08053204202
185	0.08025365082
186	0.07993943744
187	0.07958055884
188	0.07912044521
189	0.07862495731
190	0.07822947994
191	0.0779231148
192	0.07745689743
193	0.0770965158
194	0.07664024311
195	0.07633838014
196	0.07595749417
197	0.07571321002
198	0.07517754769
199	0.07488213165
200	0.0745077923
201	0.07415140417
202	0.07385840262
203	0.07340178795
204	0.07311034856
205	0.07273633713
206	0.07232273516
207	0.07195536334
208	0.071610251
209	0.0712797686
210	0.07088576637
211	0.07063519734
212	0.07032746678
213	0.07000250869
214	0.06967142004
215	0.06930599189
216	0.06895028946
217	0.06860518988
218	0.06831569769
219	0.0680272876
220	0.0677425897
221	0.06738190322
222	0.0670987611
223	0.06681195774
224	0.06642284105
225	0.06618100874
226	0.06587760586
227	0.06557789429
228	0.06525840354
229	0.06497465571
230	0.06469798438
231	0.06449782804
232	0.06407616315
233	0.06377925301
234	0.06352498938
235	0.06324922361
236	0.06294191311
237	0.06267333921
238	0.06241298465
239	0.06219306062
240	0.06183683317
241	0.06164577203
242	0.06137465346
243	0.06109517339
244	0.06088829383
245	0.06059228474
246	0.06033531984
247	0.06010100136
248	0.0598037807
249	0.05954295937
250	0.05925695277
251	0.05903130214
252	0.05870749104
253	0.0584064102
254	0.05815181577
255	0.05794380398
256	0.05759809177
257	0.05729463611
258	0.05703843281
259	0.05669951489
260	0.05647113498
261	0.05626548625
262	0.05602672661
263	0.05582058862
264	0.05556996147
265	0.0552988876
266	0.05508697117
267	0.05488899331
268	0.05463134451
269	0.05443872428
270	0.05426646855
271	0.05409469921
272	0.05385519342
273	0.05364523474
274	0.05341017463
275	0.05314191711
276	0.05297002611
277	0.05279345969
278	0.05263643038
279	0.0524076465
